STATUS   CAT        CHALLENGE                            PTS   SLV  PTS/SLV
----------------------------------------------------------------------------
new      web        meshgate                             500     0    500.0
new      web        mccrab3                              466     5     93.2
new      web        larpin2                              450     7     64.3
new      web        ariadne-s-tab                        357    23     15.5
SOLVED   web        larpin                               241    57      4.2
SOLVED   web        no-hot-water-club                    224    64      3.5
SOLVED   misc       ship-me                              217    67      3.2
SOLVED   misc       the-pyjail                           206    72      2.9
SOLVED   pwn        v8-motor                             181    84      2.2
SOLVED   misc       turip                                170    90      1.9
SOLVED   web        vaultkeeper                          168    91      1.8
new      misc       fishing-not-phishing                 144   105      1.4
SOLVED   rev        rivers                               143   106      1.3
SOLVED   pwn        bitdebit                             141   107      1.3
SOLVED   web        tagger                               132   113      1.2
SOLVED   pwn        unbrevable                           119   122      1.0
SOLVED   rev        cadence                              119   122      1.0
SOLVED   web        fluxion                              107   131      0.8
SOLVED   rev        project-americas                      98   138      0.7
SOLVED   misc       j-b-online-assessment                 93   142      0.7
SOLVED   rev        lumaes                                91   143      0.6
SOLVED   misc       mid                                   73   159      0.5
SOLVED   rev        minigame2                             50   180      0.3
SOLVED   rev        minigame                              50   191      0.3
SOLVED   crypto     math-or-meth                          50   215      0.2
SOLVED   misc       discord-shenanigans-v6                50   265      0.2
SOLVED   crypto     cer-frumos                            50   303      0.2
SOLVED   crypto     1-1                                   50   365      0.1
SOLVED   misc       rules                                 50   409      0.1
new      koth       camper                                 0     0      0.0
----------------------------------------------------------------------------
24/30 solved, 2873 pts banked, 1917 pts on the table
