final,score,story,name,tail,imo,mmsi,flag,geartype,dep_port,n_pv,prior_30d,n_fish,n_fish_sep,gap_h,kn,km_calc,km_gfw,fish_start,vid,flag_calc,flag_gfw2
0.43889,0.9875,0.4444,KATE 2,KATE 2,8990419,366982430,USA,TRAWLERS,NEW BEDFORD,3,0,6,6,17.99,9.91,330.3,247.3,2023-09-09T10:29:34,db7e115f8-8ba1-037b-7876-d593a4d70f7c,TFCCTF{366982430_new bedford_09.09.2023_10:29_AM_330.3},TFCCTF{366982430_new bedford_09.09.2023_10:29_AM_247.3}
0.22525,1.13562,0.1983,M0115MURMANSK,RMANSK,8860200,273292400,RUS,TRAWLERS,MURMANSK,5,0,45,21,12.24,9.92,224.7,182.7,2023-09-18T07:34:44,80c948a55-524d-38f6-3e14-f6a9724357a9,TFCCTF{273292400_murmansk_18.09.2023_07:34_AM_224.7},TFCCTF{273292400_murmansk_18.09.2023_07:34_AM_182.7}
0.1925,0.9625,0.2,OSHIVELI,HIVELI,9839428,659033000,NAM,TRAWLERS,WALVIS BAY,3,0,82,28,21.94,10.35,420.5,100.2,2023-09-08T06:35:26,1ef654679-9b05-22ed-d9d6-a0028bd433d9,TFCCTF{659033000_walvis bay_08.09.2023_06:35_AM_420.5},TFCCTF{659033000_walvis bay_08.09.2023_06:35_AM_100.2}
0.12762,0.9875,0.1292,NIMB,NIMB,9100889,273212900,RUS,TRAWLERS,MURMANSK,7,1,6,3,6.48,10.12,121.5,90.4,2023-09-03T13:52:23,126afff89-9e18-a640-6b11-3d5060ff762c,TFCCTF{273212900_murmansk_03.09.2023_01:52_PM_121.5},TFCCTF{273212900_murmansk_03.09.2023_01:52_PM_90.4}
0.11975,1.00625,0.119,RIO MAU,IO MAU,9107980,242328400,MAR,TRAWLERS,TANGIER,5,0,108,43,4.83,10.99,98.3,95.9,2023-09-01T05:52:52,73046821e-e329-fb9f-7278-69051e0d0783,TFCCTF{242328400_tangier_01.09.2023_05:52_AM_98.3},TFCCTF{242328400_tangier_01.09.2023_05:52_AM_95.9}
0.08364,1.035,0.0808,ALFONSO RIERA CUARTO,CUARTO,8739932,224026860,ESP,TRAWLERS,DAKAR,5,0,90,69,19.63,9.2,334.6,171.1,2023-09-01T07:21:58,a054330ca-a2bd-7d39-14d8-3f381abda295,TFCCTF{224026860_dakar_01.09.2023_07:21_AM_334.6},TFCCTF{224026860_dakar_01.09.2023_07:21_AM_171.1}
0.05755,0.99187,0.058,F/V INTXORTA MENDI, MENDI,9264403,224139000,ESP,TRAWLERS,ONDARROA,11,0,61,61,13.48,8.94,223.2,70.7,2023-09-12T00:40:49,3d4583bc3-36fa-4383-dcdd-b0d91b85d4f3,TFCCTF{224139000_ondarroa_12.09.2023_12:40_AM_223.2},TFCCTF{224139000_ondarroa_12.09.2023_12:40_AM_70.7}
0.05128,1.0,0.0513,GIUSEPPE GAIA,E GAIA,7720312,247145250,ITA,TRAWLERS,MAZARA DEL VALLO,6,0,111,105,7.92,9.99,146.5,64.8,2023-09-18T04:52:24,e20de1731-1ed1-9244-8585-75ca38a6cdc7,TFCCTF{247145250_mazara del vallo_18.09.2023_04:52_AM_146.5},TFCCTF{247145250_mazara del vallo_18.09.2023_04:52_AM_64.8}
0.04492,0.95455,0.0471,KOMANDOR,MANDOR,9005285,273332830,RUS,TRAWLERS,MALOKURILSK,3,0,161,158,24.21,9.67,433.5,289.3,2023-09-13T08:13:00,f2c7d62ce-e21c-37b4-f523-436a17de65ab,TFCCTF{273332830_malokurilsk_13.09.2023_08:13_AM_433.5},TFCCTF{273332830_malokurilsk_13.09.2023_08:13_AM_289.3}
0.0425,1.0,0.0425,NUOVA ARETUSA,RETUSA,8688652,247147510,ITA,TRAWLERS,MAZARA DEL VALLO,5,0,142,142,19.93,10.01,369.6,93.9,2023-09-10T09:21:54,fde671ee2-2f83-9480-eda3-2e78ee250bc3,TFCCTF{247147510_mazara del vallo_10.09.2023_09:21_AM_369.6},TFCCTF{247147510_mazara del vallo_10.09.2023_09:21_AM_93.9}
