score,story,tail_score,name,tail,tail_why,mmsi,flag,geartype,dep_port,n_pv,prior_30d,n_fish,gap_h,kn,km_calc,km_gfw,dkm,exact1dp,fish_start,src,vid,flag_calc,flag_gfw
0.4959,0.4959,1.0,SOBA DAS IMBIAS,IMBIAS,wide glyph at index 1-2,511100893,PLW,OTHER_PURSE_SEINES,LUANDA,5,0,8,5.46,6.5,65.7,65.5,0.2,no,2023-09-02T00:17:37,agent8-fill,8f9fdb00c-ca79-26e2-f771-f0677cc332bc,TFCCTF{511100893_luanda_02.09.2023_12:17_AM_65.7},TFCCTF{511100893_luanda_02.09.2023_12:17_AM_65.5}
0.3929,0.7143,0.55,DONA ROSARIO,OSARIO,"wide glyph, wrong index",730153924,COL,TRAWLERS,BUENAVENTURA,2,0,54,6.67,6.96,85.9,86.0,0.1,no,2023-09-30T09:49:56,trawler-slice,4f3f1b78e-efb2-4029-0a43-bb19e9642bbd,TFCCTF{730153924_buenaventura_30.09.2023_09:49_AM_85.9},TFCCTF{730153924_buenaventura_30.09.2023_09:49_AM_86.0}
0.3587,0.6522,0.55,MIRANDA,IRANDA,"wide glyph, wrong index",735059629,ECU,NA,MANTA,2,0,2,22.89,9.68,410.4,410.1,0.3,no,2023-09-01T01:33:53,agent8-fill,fd79f51fe-e35d-8072-3cb0-a6ed228d3547,TFCCTF{735059629_manta_01.09.2023_01:33_AM_410.4},TFCCTF{735059629_manta_01.09.2023_01:33_AM_410.1}
0.25,0.25,1.0,BRITTANY DAWN,Y DAWN,wide glyph at index 1-2,338386114,USA,POLE_AND_LINE,CAPE MAY CORINTHIAN,6,0,1,5.04,13.9,129.7,127.7,2.0,no,2023-09-04T12:29:20,agent8-fill,bc9e1dfe5-543d-05ea-1eed-c4094bbb74ca,TFCCTF{338386114_cape may corinthian_04.09.2023_12:29_PM_129.7},TFCCTF{338386114_cape may corinthian_04.09.2023_12:29_PM_127.7}
0.2019,0.2019,1.0,KAVEKE KATAMILA,TAMILA,wide glyph at index 1-2,659349000,NAM,SET_LONGLINES,WALVIS BAY,2,1,93,17.07,8.99,284.2,283.6,0.6,no,2023-09-23T03:04:22,longline-slice,b97b95a78-83ff-a045-c45b-5d635e9a673a,TFCCTF{659349000_walvis bay_23.09.2023_03:04_AM_284.2},TFCCTF{659349000_walvis bay_23.09.2023_03:04_AM_283.6}
0.1944,0.1944,1.0,OCEAN SNIPER,SNIPER,wide glyph at index 1-2,634156000,KEN,SET_LONGLINES,MOMBASA,2,1,110,10.61,7.79,153.0,152.3,0.7,no,2023-09-16T22:42:01,longline-slice,5387a0ae6-6cc8-74ca-ed45-e1cab8dbe0b8,TFCCTF{634156000_mombasa_16.09.2023_10:42_PM_153.0},TFCCTF{634156000_mombasa_16.09.2023_10:42_PM_152.3}
0.1858,0.1858,1.0,MIN GUK HO,GUK HO,wide glyph at index 1-2,440066620,KOR,SET_GILLNETS,GURYONGPO,13,0,24,5.92,8.96,98.2,96.8,1.4,no,2023-09-29T09:03:54,agent8-fill,763b5eeb1-11ff-db92-2c25-2a312caa680d,TFCCTF{440066620_guryongpo_29.09.2023_09:03_AM_98.2},TFCCTF{440066620_guryongpo_29.09.2023_09:03_AM_96.8}
0.1731,0.3846,0.45,DUX,DUX,"wide glyph at index 1-2, too short to be cut",630123009,GNB,TRAWLERS,BISSAU,6,0,71,8.94,10.29,170.3,170.9,0.6,no,2023-09-02T11:10:31,trawler-slice,ddede9953-3f41-0464-60f7-dd305ee6621a,TFCCTF{630123009_bissau_02.09.2023_11:10_AM_170.3},TFCCTF{630123009_bissau_02.09.2023_11:10_AM_170.9}
0.1678,0.4196,0.4,YURYO MARU NO18,U NO18,"wide glyph at index 1-2, digits in tail",431009476,JPN,FIXED_GEAR,KUSHIRO,5,0,3,5.62,7.21,75.1,74.5,0.6,no,2023-09-27T12:33:09,agent8-fill,6deb10417-77d2-0dba-3a05-6791d7205783,TFCCTF{431009476_kushiro_27.09.2023_12:33_PM_75.1},TFCCTF{431009476_kushiro_27.09.2023_12:33_PM_74.5}
0.1608,0.1608,1.0,KING KAULUMA,AULUMA,wide glyph at index 1-2,659262000,NAM,SET_LONGLINES,WALVIS BAY,2,1,93,27.02,6.86,343.2,342.3,0.9,no,2023-09-03T14:41:14,longline-slice,9dc659c84-4ba7-1628-bd05-4708cef248eb,TFCCTF{659262000_walvis bay_03.09.2023_02:41_PM_343.2},TFCCTF{659262000_walvis bay_03.09.2023_02:41_PM_342.3}
