rank,geartype,name,mmsi,flag,port,km,near,dist_agree,delta,kn,h,vend,fish,vid,flag_gfw,flag_greatcircle
0.9861,NA,MIRANDA,735059629,ECU,manta,410.4,410.1,DIFFER,0.0008,9.7,22.9,2023-08-31T02:40:22.000Z,2023-09-01T01:33:53.000Z,fd79f51fe-e35d-8072-3cb0-a6ed228d3547,TFCCTF{735059629_manta_01.09.2023_01:33_AM_410.1},TFCCTF{735059629_manta_01.09.2023_01:33_AM_410.4}
0.9587,TRAWLERS,DUX,630123009,GNB,bissau,170.3,170.9,DIFFER,0.0036,10.3,8.9,2023-09-02T02:14:24.000Z,2023-09-02T11:10:31.000Z,ddede9953-3f41-0464-60f7-dd305ee6621a,TFCCTF{630123009_bissau_02.09.2023_11:10_AM_170.9},TFCCTF{630123009_bissau_02.09.2023_11:10_AM_170.3}
0.9457,POLE_AND_LINE,FLOOR REEL,338485646,USA,ocean city,127.6,126.9,DIFFER,0.0054,10.0,6.9,2023-09-11T09:10:03.000Z,2023-09-11T16:04:17.000Z,5c5f533ae-e71f-763d-abc8-c6eac235f311,TFCCTF{338485646_ocean city_11.09.2023_04:04_PM_126.9},TFCCTF{338485646_ocean city_11.09.2023_04:04_PM_127.6}
0.929,TRAWLERS,HARVEST KROTOA,601512000,ZAF,saldanha bay,87.4,86.8,DIFFER,0.007,9.9,4.8,2023-09-01T16:05:08.000Z,2023-09-01T20:51:09.000Z,4da1fe675-5ec0-139d-ed51-1be43d70db98,TFCCTF{601512000_saldanha bay_01.09.2023_08:51_PM_86.8},TFCCTF{601512000_saldanha bay_01.09.2023_08:51_PM_87.4}
0.9256,TUNA_PURSE_SEINES,MARSHALLS 201,538060004,MHL,majuro,396.3,396.6,DIFFER,0.0007,8.9,23.9,2023-09-01T23:17:46.000Z,2023-09-02T23:14:03.000Z,217c66f73-379e-a454-2521-1133078aca43,TFCCTF{538060004_majuro_02.09.2023_11:14_PM_396.6},TFCCTF{538060004_majuro_02.09.2023_11:14_PM_396.3}
0.9198,SET_LONGLINES,KAVEKE KATAMILA,659349000,NAM,walvis bay,284.2,283.6,DIFFER,0.002,9.0,17.1,2023-09-22T10:00:12.000Z,2023-09-23T03:04:22.000Z,b97b95a78-83ff-a045-c45b-5d635e9a673a,TFCCTF{659349000_walvis bay_23.09.2023_03:04_AM_283.6},TFCCTF{659349000_walvis bay_23.09.2023_03:04_AM_284.2}
0.9197,TRAWLERS,YUEHUILAIYU43428,412466888,CHN,shenquan,70.7,70.9,DIFFER,0.003,9.1,4.2,2023-09-06T00:02:26.000Z,2023-09-06T04:14:53.000Z,dd74e6148-83f1-bb54-5dc4-9f1150278ed2,TFCCTF{412466888_shenquan_06.09.2023_04:14_AM_70.9},TFCCTF{412466888_shenquan_06.09.2023_04:14_AM_70.7}
0.911,TRAWLERS,ALPHA PECHE-1,654005800,MRT,cansado,98.5,99.2,DIFFER,0.0075,9.5,5.6,2023-09-05T00:19:06.000Z,2023-09-05T05:54:34.000Z,4d8bd2c0c-c5dd-4420-0434-f224813f9c6d,TFCCTF{654005800_cansado_05.09.2023_05:54_AM_99.2},TFCCTF{654005800_cansado_05.09.2023_05:54_AM_98.5}
0.9073,POLE_AND_LINE,MISS LIANE,338367084,USA,barnegat lighthouse,131.0,131.0,SAME,0.0004,8.8,8.1,2023-09-07T07:45:27.000Z,2023-09-07T15:49:03.000Z,2e5929f5f-f935-9b1b-7200-fc2dfad26cb7,TFCCTF{338367084_barnegat lighthouse_07.09.2023_03:49_PM_131.0},TFCCTF{338367084_barnegat lighthouse_07.09.2023_03:49_PM_131.0}
0.9014,TRAWLERS,MARIA GLORIA,701006341,ARG,mar del plata,212.2,210.4,DIFFER,0.0085,9.5,12.1,2023-08-31T22:46:12.000Z,2023-09-01T10:49:30.000Z,22ff4df68-8b03-446a-ad0e-c2fd833069a8,TFCCTF{701006341_mar del plata_01.09.2023_10:49_AM_210.4},TFCCTF{701006341_mar del plata_01.09.2023_10:49_AM_212.2}
