score,geartype,name,mmsi,flag,port,km,gfw_nearest_km,kn,gap_h,depart_utc,fish_utc,n_port,n_fish,vessel_id,flag_guess
0.976,TRAWLERS,MARIA GLORIA,701006341,ARG,mar del plata,212.2,210.4,9.5,12.1,2023-08-31T22:46:12.000Z,2023-09-01T10:49:30.000Z,23,49,22ff4df68-8b03-446a-ad0e-c2fd833069a8,TFCCTF{701006341_mar del plata_01.09.2023_10:49_AM_212.2}
0.958,POLE_AND_LINE,OLD RELIABLE,368224120,USA,quepos,272.7,262.0,9.8,15.0,2023-08-31T22:40:19.000Z,2023-09-01T13:42:23.000Z,,,5d729b054-41ae-35f0-4fd5-72d90705698a,TFCCTF{368224120_quepos_01.09.2023_01:42_PM_272.7}
0.956,TRAWLERS,NANNY BESSIE,316023983,CAN,louisburg,143.7,145.9,9.8,7.9,2023-09-08T23:22:03.000Z,2023-09-09T07:16:07.000Z,10,49,712a8bb75-53b2-e3e1-0c39-4821d497e041,TFCCTF{316023983_louisburg_09.09.2023_07:16_AM_143.7}
0.954,TRAWLERS,ARBUMASA X,701000720,ARG,puerto deseado,236.9,234.3,9.2,13.8,2023-09-01T11:39:29.000Z,2023-09-02T01:30:06.000Z,14,110,57063c950-0272-9fea-9475-f0344f27438e,TFCCTF{701000720_puerto deseado_02.09.2023_01:30_AM_236.9}
0.949,DRIFTING_LONGLINES,ZAO FU CHANG,416664500,TWN,donggang,257.6,248.0,10.5,13.3,2023-09-27T14:46:12.000Z,2023-09-28T04:02:33.000Z,,,1aa3fe18c-ce14-aff9-560d-6333ca2e622b,TFCCTF{416664500_donggang_28.09.2023_04:02_AM_257.6}
0.947,TRAWLERS,ARBUMASA XV,701000708,ARG,puerto deseado,244.4,233.0,9.7,13.6,2023-09-08T06:05:47.000Z,2023-09-08T19:44:26.000Z,16,149,03d12278a-a35b-ce50-918b-673e1bca4940,TFCCTF{701000708_puerto deseado_08.09.2023_07:44_PM_244.4}
0.947,TRAWLERS,KAPITAN BOGOMOLOV,273528800,RUS,dakhla,144.9,149.8,10.6,7.4,2023-09-01T04:11:31.000Z,2023-09-01T11:35:55.000Z,11,254,57871468a-a994-35af-afb7-b9a23d9ed3aa,TFCCTF{273528800_dakhla_01.09.2023_11:35_AM_144.9}
0.933,SQUID_JIGGER,LU YAN YUAN YU 009,412331037,CHN,callao,522.4,491.0,9.7,29.2,2023-09-19T18:12:31.000Z,2023-09-20T23:22:33.000Z,,,9f0651c65-5ed2-1e88-fce6-7e6af43ce4b2,TFCCTF{412331037_callao_20.09.2023_11:22_PM_522.4}
0.931,TUNA_PURSE_SEINES,MARSHALLS 201,538060004,MHL,majuro,396.3,396.6,8.9,23.9,2023-09-01T23:17:46.000Z,2023-09-02T23:14:03.000Z,,,217c66f73-379e-a454-2521-1133078aca43,TFCCTF{538060004_majuro_02.09.2023_11:14_PM_396.3}
0.926,TRAWLERS,ARGENOVA X,701000950,ARG,puerto deseado,193.8,181.6,9.6,10.9,2023-09-02T03:47:34.000Z,2023-09-02T14:43:24.000Z,14,136,a665db779-9536-53d1-836d-0d1df7630434,TFCCTF{701000950_puerto deseado_02.09.2023_02:43_PM_193.8}
0.925,TUNA_PURSE_SEINES,AZTECA 5,345080027,MEX,mazatlan,181.4,175.5,9.2,10.7,2023-09-12T01:44:51.000Z,2023-09-12T12:27:04.000Z,,,4ba085a4a-ae59-e463-46bc-1df10ff27aca,TFCCTF{345080027_mazatlan_12.09.2023_12:27_PM_181.4}
0.92,TRAWLERS,BAQUEIRO,224324000,ESP,castletown bearhaven,164.8,176.8,9.6,9.3,2023-09-04T00:00:08.000Z,2023-09-04T09:19:06.000Z,11,63,554cb8562-23c2-510a-0686-fd68d007a5c5,TFCCTF{224324000_castletown bearhaven_04.09.2023_09:19_AM_164.8}
0.902,FISHING,NO MERCY,338421038,USA,harwich port,276.4,260.3,9.2,16.3,2023-09-08T00:54:18.000Z,2023-09-08T17:11:07.000Z,,,617ebc8fe-e04c-18d2-766b-2dac8ae26193,TFCCTF{338421038_harwich port_08.09.2023_05:11_PM_276.4}
0.899,TRAWLERS,MARIA LILIANA,701000645,ARG,puerto madryn,159.9,147.9,9.5,9.1,2023-09-01T12:58:16.000Z,2023-09-01T22:03:13.000Z,12,139,0daa94a5e-eb73-7aea-d2dc-2ffc33723dcd,TFCCTF{701000645_puerto madryn_01.09.2023_10:03_PM_159.9}
0.887,DRIFTING_LONGLINES,YUH CHANG N0:1,576753000,VUT,apia,184.7,188.5,8.7,11.4,2023-09-01T04:14:17.000Z,2023-09-01T15:38:47.000Z,,,63d63584b-b3f7-d0a3-3d76-0bc8e1e75a59,TFCCTF{576753000_apia_01.09.2023_03:38_PM_184.7}
0.886,SQUID_JIGGER,CHANG SHUN 6,412329462,CHN,callao,571.9,522.1,10.7,28.9,2023-09-07T19:07:41.000Z,2023-09-09T00:00:01.000Z,,,5240dc5fb-b3aa-42cd-a854-4a9f683bbba2,TFCCTF{412329462_callao_09.09.2023_12:00_AM_571.9}
0.883,FISHING,107EO JIN,440090860,KOR,seogwipo,335.6,320.0,8.9,20.4,2023-09-02T23:22:43.000Z,2023-09-03T19:46:16.000Z,,,1db1dd326-6ca5-5a59-e364-5882df917841,TFCCTF{440090860_seogwipo_03.09.2023_07:46_PM_335.6}
0.872,FISHING,SHUN ZE 777,412421179,CHN,callao,555.8,574.0,8.7,34.5,2023-09-23T00:29:01.000Z,2023-09-24T10:56:47.000Z,,,70ffcc415-5344-9a30-c2ca-3b58d7ac46c8,TFCCTF{412421179_callao_24.09.2023_10:56_AM_555.8}
0.866,TRAWLERS,ZHE LING YU 69073,412416597,CHN,songmen,318.6,276.0,9.9,17.3,2023-09-16T08:29:14.000Z,2023-09-17T01:47:33.000Z,1,26,1d98a2eb5-526b-af53-92aa-c06ec414b560,TFCCTF{412416597_songmen_17.09.2023_01:47_AM_318.6}
0.865,TRAWLERS,BACALAM,630124008,GNB,bissau,162.9,168.6,8.7,10.2,2023-08-31T16:03:46.000Z,2023-09-01T02:12:50.000Z,7,41,1ea684eb3-34e7-885e-a813-29bcbce1f753,TFCCTF{630124008_bissau_01.09.2023_02:12_AM_162.9}
0.864,TRAWLERS,DON ESCIPION,701000956,ARG,mar del plata,217.0,188.2,10.2,11.4,2023-09-13T19:02:05.000Z,2023-09-14T06:28:16.000Z,24,57,94b1a51d3-3cde-3fe1-f002-4f24ee0700f8,TFCCTF{701000956_mar del plata_14.09.2023_06:28_AM_217.0}
0.864,TRAWLERS,ARGENOVA 25,701006471,ARG,puerto deseado,195.3,194.1,8.5,12.4,2023-09-02T03:12:45.000Z,2023-09-02T15:37:06.000Z,12,149,7651e8410-0fb1-0f16-2a14-0e22689c3452,TFCCTF{701006471_puerto deseado_02.09.2023_03:37_PM_195.3}
0.862,TUNA_PURSE_SEINES,DONIENE,224464000,ESP,port victoria,559.9,524.9,11.2,27.1,2023-09-10T01:34:08.000Z,2023-09-11T04:40:09.000Z,,,4ed2ee532-2942-5479-c326-6d2ec2f32cde,TFCCTF{224464000_port victoria_11.09.2023_04:40_AM_559.9}
0.861,FISHING,ZHELINGYU69258,412418462,CHN,songmen,323.4,279.0,9.8,17.8,2023-09-16T07:41:29.000Z,2023-09-17T01:27:58.000Z,,,75f63d42d-de16-624a-068d-f5a640bfa4e0,TFCCTF{412418462_songmen_17.09.2023_01:27_AM_323.4}
0.854,TRAWLERS,ZHELINGYU69199,412416649,CHN,taizhou,323.2,279.8,9.5,18.3,2023-09-16T07:41:24.000Z,2023-09-17T02:00:52.000Z,1,54,9334df09f-f3d3-ea33-9069-1d722dbfeccb,TFCCTF{412416649_taizhou_17.09.2023_02:00_AM_323.2}
0.851,TRAWLERS,ZHELINGYU60077,412419308,CHN,taizhou,248.3,215.0,9.5,14.1,2023-09-16T09:03:08.000Z,2023-09-16T23:11:50.000Z,1,57,2b68a9e2b-bc26-0873-6d6e-c1dbeb48f141,TFCCTF{412419308_taizhou_16.09.2023_11:11_PM_248.3}
0.85,TRAWLERS,ZHELINGYU25831,412417237,CHN,songmen,315.2,270.8,9.6,17.7,2023-09-16T08:23:33.000Z,2023-09-17T02:07:48.000Z,3,61,923c305e0-0559-538b-321a-ed871d50178b,TFCCTF{412417237_songmen_17.09.2023_02:07_AM_315.2}
0.85,TRAWLERS,TESTSHIP,600001113,,songmen,324.5,275.8,10.0,17.6,2023-09-16T08:31:41.000Z,2023-09-17T02:04:46.000Z,1,50,66202f6de-e40a-71fb-daa3-0588d47f2338,TFCCTF{600001113_songmen_17.09.2023_02:04_AM_324.5}
0.848,TRAWLERS,SAN ARAMAND,512006191,NZL,napier,134.8,151.0,9.1,8.0,2023-09-01T06:45:08.000Z,2023-09-01T14:45:39.000Z,11,40,9a226f38c-cac2-439f-db16-021f8712f86f,TFCCTF{512006191_napier_01.09.2023_02:45_PM_134.8}
0.847,TRAWLERS,TRONDUR I GOETU,231036000,FRO,fuglafjordur,270.6,262.4,8.5,17.1,2023-09-03T00:55:15.000Z,2023-09-03T18:03:14.000Z,30,35,88d8a1194-44e0-9406-0095-756b9c0269b0,TFCCTF{231036000_fuglafjordur_03.09.2023_06:03_PM_270.6}
0.846,TRAWLERS,ZHELINGYU69049,412417619,CHN,songmen,279.5,236.4,10.0,15.1,2023-09-16T05:10:16.000Z,2023-09-16T20:16:18.000Z,3,65,ae2666588-8edf-7337-fc70-b612e6dfb310,TFCCTF{412417619_songmen_16.09.2023_08:16_PM_279.5}
0.843,TRAWLERS,ZHELINGYU69173,412418882,CHN,songmen,314.0,272.7,9.3,18.2,2023-09-16T07:53:05.000Z,2023-09-17T02:06:13.000Z,2,61,7312ad913-3cdf-9ab8-3ab6-b1f87e60c037,TFCCTF{412418882_songmen_17.09.2023_02:06_AM_314.0}
0.841,POLE_AND_LINE,FLOOR REEL,338485646,USA,ocean city,127.6,126.9,10.0,6.9,2023-09-11T09:10:03.000Z,2023-09-11T16:04:17.000Z,,,5c5f533ae-e71f-763d-abc8-c6eac235f311,TFCCTF{338485646_ocean city_11.09.2023_04:04_PM_127.6}
0.841,TRAWLERS,ZHE LING YU 78058,412417238,CHN,taizhou,329.1,280.2,10.4,17.0,2023-09-16T07:48:21.000Z,2023-09-17T00:48:56.000Z,3,47,754e5c9bc-c507-1c87-683b-95178d5c107f,TFCCTF{412417238_taizhou_17.09.2023_12:48_AM_329.1}
0.838,TRAWLERS,MARA I,701000649,ARG,puerto madryn,280.4,263.6,8.6,17.5,2023-09-01T13:17:15.000Z,2023-09-02T06:48:28.000Z,14,135,0620b905b-bd8f-dbac-a3ed-81ac78afd958,TFCCTF{701000649_puerto madryn_02.09.2023_06:48_AM_280.4}
0.836,TRAWLERS,GUIHEYU81189,412503035,CHN,yangjiang,164.1,143.7,10.3,8.6,2023-09-08T04:48:24.000Z,2023-09-08T13:25:55.000Z,2,8,3fd11bd52-2356-b409-092f-7b847e9170d6,TFCCTF{412503035_yangjiang_08.09.2023_01:25_PM_164.1}
0.835,FIXED_GEAR,ZHE PU YU 19167,412411816,CHN,ningbo,305.9,285.7,8.7,19.1,2023-09-04T05:04:26.000Z,2023-09-05T00:08:50.000Z,,,7edd0afcf-f38f-f3d7-29c3-543697f4c2cc,TFCCTF{412411816_ningbo_05.09.2023_12:08_AM_305.9}
0.833,SET_LONGLINES,JIN LI CHIEN,416003631,TWN,keelung,149.3,137.1,10.3,7.8,2023-09-06T05:19:38.000Z,2023-09-06T13:07:26.000Z,,,7d011ba0d-d917-d6cd-d073-28f4394e4622,TFCCTF{416003631_keelung_06.09.2023_01:07_PM_149.3}
0.83,SET_LONGLINES,999 BEOM SEONG,440136230,KOR,seogwipo,376.7,315.9,9.6,21.2,2023-09-02T04:07:20.000Z,2023-09-03T01:18:02.000Z,,,a010424d7-73d3-393d-a2bd-15a4c4bb4784,TFCCTF{440136230_seogwipo_03.09.2023_01:18_AM_376.7}
0.829,FISHING,SUNTAR,273430790,RUS,retinskoe,434.0,385.9,8.9,26.2,2023-09-02T14:12:21.000Z,2023-09-03T16:24:28.000Z,,,05a94f7db-ba98-6550-1e13-90e6e2a635e0,TFCCTF{273430790_retinskoe_03.09.2023_04:24_PM_434.0}
0.825,TRAWLERS,ZHELINGYU69192,412416533,CHN,songmen,281.1,237.2,9.4,16.1,2023-09-16T04:42:25.000Z,2023-09-16T20:51:06.000Z,1,46,34e91f6b5-5197-550f-a197-76a85fdb2429,TFCCTF{412416533_songmen_16.09.2023_08:51_PM_281.1}
0.824,NA,ZHELINGYU74095,412418009,CHN,taizhou,335.3,283.9,10.7,17.0,2023-09-16T07:55:55.000Z,2023-09-17T00:54:46.000Z,,,0de9b2fa6-6696-0afa-2cf9-bb52d9ccd16a,TFCCTF{412418009_taizhou_17.09.2023_12:54_AM_335.3}
0.824,FISHING,MINSHIYU07202,412450813,CHN,wenzhou,176.3,148.0,10.3,9.2,2023-09-05T03:59:08.000Z,2023-09-05T13:13:49.000Z,,,1fbfebbef-f9bb-7bdf-2721-18af34023ec1,TFCCTF{412450813_wenzhou_05.09.2023_01:13_PM_176.3}
