score,name,tail,imo,mmsi,flag,geartype,port,km,near,kn,h,vid,flag_gfw,flag_greatcircle
1.13562,ZAMBEZI,AMBEZI,7325722,659245000,NAM,TRAWLERS,walvis bay,119.9,125.0,10.1,6.4,3bde07f86-662d-bc20-5b41-076d567e0fee,TFCCTF{659245000_walvis bay_01.09.2023_03:30_AM_125.0},TFCCTF{659245000_walvis bay_01.09.2023_03:30_AM_119.9}
1.13562,M0115MURMANSK,RMANSK,8860200,273292400,RUS,TRAWLERS,murmansk,224.7,182.7,9.9,12.2,80c948a55-524d-38f6-3e14-f6a9724357a9,TFCCTF{273292400_murmansk_18.09.2023_07:34_AM_182.7},TFCCTF{273292400_murmansk_18.09.2023_07:34_AM_224.7}
1.10687,F/V MAR MARES, MARES,9282651,228437700,FRA,TRAWLERS,dingle,214.4,73.8,10.3,11.2,f133c20ce-e088-5e39-08be-661aad4559c9,TFCCTF{228437700_dingle_02.09.2023_02:34_AM_73.8},TFCCTF{228437700_dingle_02.09.2023_02:34_AM_214.4}
1.0925,ARGENOVA X,NOVA X,8702692,701000950,ARG,TRAWLERS,puerto deseado,193.8,181.6,9.6,10.9,a665db779-9536-53d1-836d-0d1df7630434,TFCCTF{701000950_puerto deseado_02.09.2023_02:43_PM_181.6},TFCCTF{701000950_puerto deseado_02.09.2023_02:43_PM_193.8}
1.0925,BAQUEIRO,QUEIRO,8733342,224324000,ESP,TRAWLERS,castletown bearhaven,164.8,176.8,9.6,9.3,554cb8562-23c2-510a-0686-fd68d007a5c5,TFCCTF{224324000_castletown bearhaven_04.09.2023_09:19_AM_176.8},TFCCTF{224324000_castletown bearhaven_04.09.2023_09:19_AM_164.8}
1.0925,F/V MARANATHA II,THA II,9199878,227138800,FRA,TRAWLERS,cherbourg,110.6,59.1,10.4,5.7,9242b9777-7040-808e-06f5-4667634c6ac3,TFCCTF{227138800_cherbourg_02.09.2023_05:15_AM_59.1},TFCCTF{227138800_cherbourg_02.09.2023_05:15_AM_110.6}
1.0925,TAIMANIA,IMANIA,8803733,273356020,RUS,TRAWLERS,krabozavodsk,167.4,72.6,9.6,9.4,d133369a7-7f33-9889-9c9d-eb271c0630ad,TFCCTF{273356020_krabozavodsk_03.09.2023_03:42_AM_72.6},TFCCTF{273356020_krabozavodsk_03.09.2023_03:42_AM_167.4}
1.07812,UK246 CONCORDIA,CORDIA,9055034,246068000,NLD,TRAWLERS,harlingen,142.4,57.5,10.5,7.3,6687ad206-6057-26b6-cabd-a72e1649576c,TFCCTF{246068000_harlingen_04.09.2023_07:18_AM_57.5},TFCCTF{246068000_harlingen_04.09.2023_07:18_AM_142.4}
1.06375,KAPITAN BOGOMOLOV,OMOLOV,8607402,273528800,RUS,TRAWLERS,dakhla,144.9,149.8,10.6,7.4,57871468a-a994-35af-afb7-b9a23d9ed3aa,TFCCTF{273528800_dakhla_01.09.2023_11:35_AM_149.8},TFCCTF{273528800_dakhla_01.09.2023_11:35_AM_144.9}
1.06375,BJORGULFUR,GULFUR,9758210,251414000,ISL,TRAWLERS,dalvik,125.9,52.8,9.4,7.2,f61873125-50aa-a9fb-f68c-46f5d6439581,TFCCTF{251414000_dalvik_01.09.2023_08:09_PM_52.8},TFCCTF{251414000_dalvik_01.09.2023_08:09_PM_125.9}
1.06375,GINNETON,NNETON,9150016,273451890,RUS,TRAWLERS,malokurilsk,167.2,63.9,10.6,8.5,84f86cfb3-3246-c480-9f29-d71924581c35,TFCCTF{273451890_malokurilsk_01.09.2023_09:45_PM_63.9},TFCCTF{273451890_malokurilsk_01.09.2023_09:45_PM_167.2}
1.04937,F/V JEAN TABOUREL,BOUREL,9871933,228364900,FRA,TRAWLERS,port-en-bessin,173.7,54.9,10.7,8.8,014b58794-4e2a-e45a-0823-9613fcef7650,TFCCTF{228364900_port-en-bessin_02.09.2023_05:29_AM_54.9},TFCCTF{228364900_port-en-bessin_02.09.2023_05:29_AM_173.7}
1.039,DON AGUSTIN,GUSTIN,9072020,701000727,ARG,TRAWLERS,san antonio este,469.7,306.4,9.8,25.9,f145c30f8-88be-9c7b-bb7c-c3579794c259,TFCCTF{701000727_san antonio este_09.09.2023_03:51_PM_306.4},TFCCTF{701000727_san antonio este_09.09.2023_03:51_PM_469.7}
1.035,AURORA,AURORA,8101678,367729000,USA,TRAWLERS,dutch harbor,119.7,79.5,10.8,6.0,158175fb6-6899-07da-656c-f1b691c902c8,TFCCTF{367729000_dutch harbor_01.09.2023_02:08_AM_79.5},TFCCTF{367729000_dutch harbor_01.09.2023_02:08_AM_119.7}
1.035,ALFONSO RIERA CUARTO,CUARTO,8739932,224026860,ESP,TRAWLERS,dakar,334.6,171.1,9.2,19.6,a054330ca-a2bd-7d39-14d8-3f381abda295,TFCCTF{224026860_dakar_01.09.2023_07:21_AM_171.1},TFCCTF{224026860_dakar_01.09.2023_07:21_AM_334.6}
1.035,FRIOSUR IX,SUR IX,8011718,725000620,CHL,TRAWLERS,puerto chacabuco,237.7,81.5,10.8,11.9,cfb70c275-5a92-613a-7d4e-fd635d9d4e38,TFCCTF{725000620_puerto chacabuco_05.09.2023_10:34_AM_81.5},TFCCTF{725000620_puerto chacabuco_05.09.2023_10:34_AM_237.7}
1.035,HUGINN,HUGINN,9211690,251139000,ISL,TRAWLERS,vestmannaeyjar,471.7,90.7,10.8,23.5,fd14c0490-0d11-e513-f0d5-138e3a8dc942,TFCCTF{251139000_vestmannaeyjar_09.09.2023_09:41_PM_90.7},TFCCTF{251139000_vestmannaeyjar_09.09.2023_09:41_PM_471.7}
1.02062,PRAIA DE RODEIRA,ODEIRA,9265330,224546000,ESP,TRAWLERS,cansado,199.0,123.7,9.1,11.8,ae36a2e64-4845-ad9d-4a2c-fddfd563d92a,TFCCTF{224546000_cansado_05.09.2023_08:41_AM_123.7},TFCCTF{224546000_cansado_05.09.2023_08:41_AM_199.0}
1.00625,RIO MAU,IO MAU,9107980,242328400,MAR,TRAWLERS,tangier,98.3,95.9,11.0,4.8,73046821e-e329-fb9f-7278-69051e0d0783,TFCCTF{242328400_tangier_01.09.2023_05:52_AM_95.9},TFCCTF{242328400_tangier_01.09.2023_05:52_AM_98.3}
1.00625,TOR-ON,TOR-ON,9840116,219030383,DNK,TRAWLERS,skagen,348.8,60.6,9.0,20.8,dc879375f-f872-d703-f785-181f2caeba5c,TFCCTF{219030383_skagen_02.09.2023_07:15_AM_60.6},TFCCTF{219030383_skagen_02.09.2023_07:15_AM_348.8}
1.0,POLARHAV,LARHAV,9295804,231326000,FRO,TRAWLERS,klaksvik,86.4,71.8,10.0,4.7,8238d1b27-7d8f-6f67-7b8e-f27573930dee,TFCCTF{231326000_klaksvik_02.09.2023_02:46_AM_71.8},TFCCTF{231326000_klaksvik_02.09.2023_02:46_AM_86.4}
1.0,ROSSYOKI,SSYOKI,8708373,273313560,RUS,TRAWLERS,retinskoe,291.4,236.4,10.0,15.7,273a09c94-4be9-9978-6ffd-74f9b14638b3,TFCCTF{273313560_retinskoe_13.09.2023_04:56_AM_236.4},TFCCTF{273313560_retinskoe_13.09.2023_04:56_AM_291.4}
1.0,ARCTURUS,CTURUS,8315724,303159000,USA,TRAWLERS,dutch harbor,123.4,79.3,10.0,6.7,dbd61222f-fcf1-a0b3-7d0f-5ac01ab1167c,TFCCTF{303159000_dutch harbor_01.09.2023_12:36_PM_79.3},TFCCTF{303159000_dutch harbor_01.09.2023_12:36_PM_123.4}
1.0,NORTHERN JOY H225 FV,225 FV,9073866,232008947,GBR,TRAWLERS,harlingen,163.3,83.8,10.0,8.8,9bad1a237-7919-2150-50f8-842c1c47c3ea,TFCCTF{232008947_harlingen_04.09.2023_08:30_AM_83.8},TFCCTF{232008947_harlingen_04.09.2023_08:30_AM_163.3}
1.0,GIUSEPPE GAIA,E GAIA,7720312,247145250,ITA,TRAWLERS,mazara del vallo,146.5,64.8,10.0,7.9,e20de1731-1ed1-9244-8585-75ca38a6cdc7,TFCCTF{247145250_mazara del vallo_18.09.2023_04:52_AM_64.8},TFCCTF{247145250_mazara del vallo_18.09.2023_04:52_AM_146.5}
1.0,TX14 GRIETJE,RIETJE,8432223,246014000,NLD,TRAWLERS,den helder,207.8,66.3,10.0,11.2,6e3d914c4-4b85-f842-b0c3-b96105500507,TFCCTF{246014000_den helder_05.09.2023_11:59_PM_66.3},TFCCTF{246014000_den helder_05.09.2023_11:59_PM_207.8}
1.0,NUOVA ARETUSA,RETUSA,8688652,247147510,ITA,TRAWLERS,mazara del vallo,369.6,93.9,10.0,19.9,fde671ee2-2f83-9480-eda3-2e78ee250bc3,TFCCTF{247147510_mazara del vallo_10.09.2023_09:21_AM_93.9},TFCCTF{247147510_mazara del vallo_10.09.2023_09:21_AM_369.6}
0.99187,F/V INTXORTA MENDI, MENDI,9264403,224139000,ESP,TRAWLERS,ondarroa,223.2,70.7,8.9,13.5,3d4583bc3-36fa-4383-dcdd-b0d91b85d4f3,TFCCTF{224139000_ondarroa_12.09.2023_12:40_AM_70.7},TFCCTF{224139000_ondarroa_12.09.2023_12:40_AM_223.2}
0.99187,KENNEDY,ENNEDY,6825490,266274000,SWE,TRAWLERS,foto,250.3,52.1,8.9,15.1,9fead5bb4-4895-e2aa-1f9e-7dfab200bf46,TFCCTF{266274000_foto_04.09.2023_06:37_AM_52.1},TFCCTF{266274000_foto_04.09.2023_06:37_AM_250.3}
0.9875,HARVEST KROTOA,KROTOA,8709949,601512000,ZAF,TRAWLERS,saldanha bay,87.4,86.8,9.9,4.8,4da1fe675-5ec0-139d-ed51-1be43d70db98,TFCCTF{601512000_saldanha bay_01.09.2023_08:51_PM_86.8},TFCCTF{601512000_saldanha bay_01.09.2023_08:51_PM_87.4}
0.9875,EMERALD,MERALD,9913614,231872000,FRO,TRAWLERS,leirvik,120.1,110.6,10.1,6.4,fe1a40438-8ba7-897b-b0e3-de6dac70455c,TFCCTF{231872000_leirvik_12.09.2023_07:21_PM_110.6},TFCCTF{231872000_leirvik_12.09.2023_07:21_PM_120.1}
0.9875,KATE 2,KATE 2,8990419,366982430,USA,TRAWLERS,new bedford,330.3,247.3,9.9,18.0,db7e115f8-8ba1-037b-7876-d593a4d70f7c,TFCCTF{366982430_new bedford_09.09.2023_10:29_AM_247.3},TFCCTF{366982430_new bedford_09.09.2023_10:29_AM_330.3}
0.9875,NIMB,NIMB,9100889,273212900,RUS,TRAWLERS,murmansk,121.5,90.4,10.1,6.5,126afff89-9e18-a640-6b11-3d5060ff762c,TFCCTF{273212900_murmansk_03.09.2023_01:52_PM_90.4},TFCCTF{273212900_murmansk_03.09.2023_01:52_PM_121.5}
0.9875,PRAIA DA MAROSA,MAROSA,8731813,663250000,SEN,TRAWLERS,dakar,203.9,115.1,9.9,11.1,f5d810a8d-d406-64e0-fc57-8f2edbc0894c,TFCCTF{663250000_dakar_03.09.2023_06:18_AM_115.1},TFCCTF{663250000_dakar_03.09.2023_06:18_AM_203.9}
0.9875,MDV1 IMMANUEL,MANUEL,9771573,244860048,NLD,TRAWLERS,borkum,258.2,63.0,9.9,14.1,12c5ed095-5963-0c04-4c97-0308e2227c6d,TFCCTF{244860048_borkum_04.09.2023_03:31_PM_63.0},TFCCTF{244860048_borkum_04.09.2023_03:31_PM_258.2}
