score,name,mmsi,flag,geartype,dep_port,n_pv,n_fish,n_fish_sep,single_prior,prior_30d,gap_h,kn,km_calc,km_gfw,agree,exact1dp,namelen,fish_start,rank,vid,flag_calc,err
0.8571,ZHELINGYU23751,412416249,CHN,TRAWLERS,TAIZHOU,1,83,83,yes,0,4.19,6.28,48.7,49.4,0.0155,no,14,2023-09-16T08:58:22,0.3553,959e4a692-244c-1a5a-c65b-2d333d44600c,TFCCTF{412416249_taizhou_16.09.2023_08:58_AM_48.7},
0.8571,YUEHUILAIYU43057,412466953,CHN,TRAWLERS,SHENQUAN,1,17,17,yes,0,4.37,6.34,51.4,53.4,0.0375,no,16,2023-09-06T04:40:08,0.2706,c0e5c7f8a-a5a8-cc9b-169a-a95b82f8a65a,TFCCTF{412466953_shenquan_06.09.2023_04:40_AM_51.4},
0.8571,JINHANYU 04852,412301003,CHN,TRAWLERS,RONGCHENG,1,1,1,yes,0,7.65,6.68,94.6,86.4,0.0869,no,13,2023-09-07T18:59:55,0.0656,bfc3a2e53-3d8c-299b-a31d-4cc74d3b122a,TFCCTF{412301003_rongcheng_07.09.2023_06:59_PM_94.6},
0.75,MYS MURAVJEVA,273892200,RUS,TRAWLERS,PETROPAVLOVSK,2,99,85,yes,0,5.07,10.48,98.5,94.5,0.0403,no,12,2023-09-28T20:32:05,0.5888,bf434a1b5-5195-f66e-131a-2f3e0a99ea8b,TFCCTF{273892200_petropavlovsk_28.09.2023_08:32_PM_98.5},
0.75,DONA ROSARIO,730153924,COL,TRAWLERS,BUENAVENTURA,2,54,53,yes,0,6.67,6.96,85.9,86.0,0.0006,no,11,2023-09-30T09:49:56,0.5581,4f3f1b78e-efb2-4029-0a43-bb19e9642bbd,TFCCTF{730153924_buenaventura_30.09.2023_09:49_AM_85.9},
0.75,LURONGYU55337,412325874,CHN,TRAWLERS,SHIDAO,2,47,47,yes,0,15.43,7.69,219.7,199.8,0.0903,no,13,2023-09-24T04:18:27,0.0697,5c7570ea9-9db7-2d08-8adf-8e51f0a557c3,TFCCTF{412325874_shidao_24.09.2023_04:18_AM_219.7},
0.75,LURONGYU58707,412328502,CHN,TRAWLERS,SHIDAO,2,37,37,yes,0,5.57,6.54,67.4,74.0,0.0898,no,13,2023-09-13T19:16:00,0.0484,04e4a79f5-506a-ddd2-d91e-40bcc1ee47cd,TFCCTF{412328502_shidao_13.09.2023_07:16_PM_67.4},
0.6667,YUEHUILAIYU43516,412466262,CHN,TRAWLERS,SHENQUAN,3,43,43,yes,0,5.47,6.2,62.8,60.9,0.0294,no,16,2023-09-06T06:02:37,0.2858,a93807855-5782-e925-1c4b-947135491051,TFCCTF{412466262_shenquan_06.09.2023_06:02_AM_62.8},
0.6667,LUCA MARIO,701042000,ARG,TRAWLERS,MAR DEL PLATA,3,125,125,yes,0,14.35,12.81,340.5,313.1,0.0804,no,9,2023-09-16T11:39:49,0.1194,a70e1cbba-a2eb-73c3-39a2-6635cad8f28d,TFCCTF{701042000_mar del plata_16.09.2023_11:39_AM_340.5},
0.5455,RIO MAU,242328400,MAR,TRAWLERS,TANGIER,5,108,43,yes,0,4.83,10.99,98.3,95.9,0.0245,no,6,2023-09-01T05:52:52,0.71,73046821e-e329-fb9f-7278-69051e0d0783,TFCCTF{242328400_tangier_01.09.2023_05:52_AM_98.3},
